bet_id,session_id,session_started_at,session_ended_at,session_currency,session_persona,session_end_reason,session_start_balance,session_end_balance,session_top_target_usd,session_secondary_target_usd,vibe_seed,placed_at,settled_at,game,amount,currency,won,payout,multiplier,stake_bet_id,params_target,params_condition
1,3,2026-05-19T02:24:46.207008+00:00,2026-05-19T02:24:51.730904+00:00,sol,steady,user_halt,0.07064359999999997,0.07064359999999997,15,10,e7ac0786668e0ff0f02b62bd04f45ff636fd82db63b1104601c975dc005f3a67,2026-05-19T02:24:47.189117+00:00,2026-05-19T02:24:47.189125+00:00,dice,0.000706435999999999700,sol,win,0.0014128719999999995,2.0,c00befab-6a5d-4618-a1fa-9bc4cd5b3540,50.5,above
2,4,2026-05-19T03:10:30.041020+00:00,2026-05-19T03:11:35.861385+00:00,sol,steady,user_halt,0.07135003599999996,0.06437019106615874,15,10,e7ac0786668e0ff0f02b62bd04f45ff636fd82db63b1104601c975dc005f3a67,2026-05-19T03:10:31.088563+00:00,2026-05-19T03:10:31.088570+00:00,dice,0.000713500359999999600,sol,win,0.0014270007199999992,2.0,6933040b-275e-436d-a99d-caa81224a1a5,50.5,above
3,4,2026-05-19T03:10:30.041020+00:00,2026-05-19T03:11:35.861385+00:00,sol,steady,user_halt,0.07135003599999996,0.06437019106615874,15,10,e7ac0786668e0ff0f02b62bd04f45ff636fd82db63b1104601c975dc005f3a67,2026-05-19T03:10:37.250854+00:00,2026-05-19T03:10:37.250861+00:00,dice,0.000720635363599999700,sol,win,0.0014412707271999994,2.0,2ba0c5fe-5750-4bf2-8c50-905d02afc96f,50.5,above
4,4,2026-05-19T03:10:30.041020+00:00,2026-05-19T03:11:35.861385+00:00,sol,steady,user_halt,0.07135003599999996,0.06437019106615874,15,10,e7ac0786668e0ff0f02b62bd04f45ff636fd82db63b1104601c975dc005f3a67,2026-05-19T03:10:41.915054+00:00,2026-05-19T03:10:41.915061+00:00,dice,0.000727841717235999800,sol,loss,0,0.0,728bd92a-8939-4945-8a33-bba3d7e0ce71,50.5,above
5,4,2026-05-19T03:10:30.041020+00:00,2026-05-19T03:11:35.861385+00:00,sol,steady,user_halt,0.07135003599999996,0.06437019106615874,15,10,e7ac0786668e0ff0f02b62bd04f45ff636fd82db63b1104601c975dc005f3a67,2026-05-19T03:10:45.261709+00:00,2026-05-19T03:10:45.261715+00:00,dice,0.0010808449500954597000,sol,loss,0,0.0,72d70d29-f19d-433b-b068-b5be54f580dd,50.5,above
6,4,2026-05-19T03:10:30.041020+00:00,2026-05-19T03:11:35.861385+00:00,sol,steady,user_halt,0.07135003599999996,0.06437019106615874,15,10,e7ac0786668e0ff0f02b62bd04f45ff636fd82db63b1104601c975dc005f3a67,2026-05-19T03:10:51.522709+00:00,2026-05-19T03:10:51.522719+00:00,dice,0.00159694841376604170000,sol,win,0.0031938968275320835,2.0,f9be45e4-7876-4768-bd3d-39be49fec0d3,50.5,above
7,4,2026-05-19T03:10:30.041020+00:00,2026-05-19T03:11:35.861385+00:00,sol,steady,user_halt,0.07135003599999996,0.06437019106615874,15,10,e7ac0786668e0ff0f02b62bd04f45ff636fd82db63b1104601c975dc005f3a67,2026-05-19T03:10:56.084986+00:00,2026-05-19T03:10:56.084993+00:00,dice,0.000907155418375432125,sol,loss,0,0.0,8eaa21f0-d4f4-4191-bba9-a90026b7dda6,50.5,above
8,4,2026-05-19T03:10:30.041020+00:00,2026-05-19T03:11:35.861385+00:00,sol,steady,user_halt,0.07135003599999996,0.06437019106615874,15,10,e7ac0786668e0ff0f02b62bd04f45ff636fd82db63b1104601c975dc005f3a67,2026-05-19T03:11:00.852889+00:00,2026-05-19T03:11:00.852895+00:00,dice,0.0008062343780811652125,sol,loss,0,0.0,e178215c-fa20-44c2-9008-ba26eebf7363,50.5,above
9,4,2026-05-19T03:10:30.041020+00:00,2026-05-19T03:11:35.861385+00:00,sol,steady,user_halt,0.07135003599999996,0.06437019106615874,15,10,e7ac0786668e0ff0f02b62bd04f45ff636fd82db63b1104601c975dc005f3a67,2026-05-19T03:11:04.577900+00:00,2026-05-19T03:11:04.577908+00:00,dice,0.00119574636199162824375,sol,win,0.0023914927239832564,2.0,b11d49c5-5404-432a-a26e-2c356ec08503,50.5,above
10,4,2026-05-19T03:10:30.041020+00:00,2026-05-19T03:11:35.861385+00:00,sol,steady,user_halt,0.07135003599999996,0.06437019106615874,15,10,e7ac0786668e0ff0f02b62bd04f45ff636fd82db63b1104601c975dc005f3a67,2026-05-19T03:11:09.754920+00:00,2026-05-19T03:11:09.754927+00:00,dice,0.00054041092526677200,sol,loss,0,0.0,51688211-4f96-4632-8a3c-f2846bf71d98,50.5,above
